timestamp,merchant,merchant_category,amount,cardholder_location,card_num,device_id,is_fraud,transaction_id,spike_type,declined
2026-01-01 00:00:37,fraud_Kihn_Inc,grocery_pos,12.7,"San Francisco, CA",4532_6228_9097,DEV_86370,0,TXN-010001,organic,0
2026-01-01 00:02:06,fraud_Bednar_Inc,shopping_net,77.96,"San Francisco, CA",4532_1510_3368,DEV_75301,0,TXN-010002,organic,0
2026-01-01 00:02:39,fraud_Kihn_Inc,misc_net,186.12,"Austin, TX",4532_9742_9643,DEV_54008,0,TXN-010003,organic,0
2026-01-01 00:03:29,fraud_Gould_Group,shopping_net,845.21,"Chicago, IL",4532_7798_6552,DEV_98607,0,TXN-010004,organic,0
2026-01-01 00:03:35,fraud_Gould_Group,grocery_net,9.25,"San Francisco, CA",4532_3655_6401,DEV_56115,0,TXN-010005,organic,0
2026-01-01 00:06:44,fraud_Bednar_Inc,misc_net,6.16,"New York, NY",4532_1700_7895,DEV_42152,0,TXN-010006,organic,0
2026-01-01 00:12:07,fraud_Vandervort_Tech,entertainment,105.79,"Miami, FL",4532_2587_1452,DEV_25935,0,TXN-010007,organic,0
2026-01-01 00:15:17,fraud_Rippin_LLC,gas_transport,66.44,"Seattle, WA",4532_4074_2112,DEV_49475,0,TXN-010008,organic,0
2026-01-01 00:25:39,fraud_Weber_Market,gas_transport,168.87,"Miami, FL",4532_6702_6917,DEV_59103,0,TXN-010009,organic,0
2026-01-01 00:36:15,fraud_Cruickshank_Apparel,misc_net,54.01,"San Francisco, CA",4532_3774_5404,DEV_82656,0,TXN-010010,organic,0
2026-01-01 00:39:12,fraud_Cruickshank_Apparel,entertainment,6.69,"Austin, TX",4532_2203_4343,DEV_45616,0,TXN-010011,organic,0
2026-01-01 00:46:15,fraud_Baumbach_Stores,misc_net,36.1,"San Francisco, CA",4532_1119_6059,DEV_70254,0,TXN-010012,organic,0
2026-01-01 00:46:35,fraud_Weber_Market,misc_net,72.24,"Austin, TX",4532_5139_8059,DEV_66410,0,TXN-010013,organic,0
2026-01-01 00:48:48,fraud_Baumbach_Stores,health_fitness,34.09,"Chicago, IL",4532_2066_1971,DEV_67816,0,TXN-010014,organic,0
2026-01-01 00:50:51,fraud_Kihn_Inc,travel,509.68,"New York, NY",4532_6319_1224,DEV_53899,0,TXN-010015,organic,0
2026-01-01 00:53:16,fraud_Bednar_Inc,misc_net,36.29,"Chicago, IL",4532_9521_8106,DEV_47580,0,TXN-010016,organic,0
2026-01-01 00:53:32,fraud_Baumbach_Stores,gas_transport,53.86,"New York, NY",4532_7940_3049,DEV_30296,0,TXN-010017,organic,0
2026-01-01 00:54:27,fraud_Bednar_Inc,health_fitness,19.1,"Austin, TX",4532_8113_5660,DEV_25408,0,TXN-010018,organic,0
2026-01-01 00:54:45,fraud_Schumm_Group,grocery_net,13.23,"San Francisco, CA",4532_4372_1420,DEV_73344,0,TXN-010019,organic,0
2026-01-01 00:57:00,fraud_Kirlin_Inc,misc_net,69.87,"San Francisco, CA",4532_6854_2740,DEV_53344,0,TXN-010020,organic,0
2026-01-01 00:57:15,fraud_Boyer_Group,gas_transport,60.23,"San Francisco, CA",4532_8877_4672,DEV_85688,0,TXN-010021,organic,0
2026-01-01 00:59:59,fraud_Gould_Group,grocery_pos,2.78,"San Francisco, CA",4532_9669_2954,DEV_45896,0,TXN-010022,organic,0
2026-01-01 01:00:26,fraud_Cruickshank_Apparel,entertainment,24.29,"Chicago, IL",4532_5777_4256,DEV_53007,0,TXN-010023,organic,0
2026-01-01 01:06:51,fraud_Rippin_LLC,grocery_pos,69.56,"Chicago, IL",4532_8765_1777,DEV_44480,0,TXN-010024,organic,0
2026-01-01 01:08:56,fraud_Boyer_Group,misc_net,111.22,"Austin, TX",4532_8021_1470,DEV_93653,0,TXN-010025,organic,0
2026-01-01 01:08:58,fraud_Kihn_Inc,gas_transport,26.84,"New York, NY",4532_9370_6609,DEV_29595,0,TXN-010026,organic,0
2026-01-01 01:12:11,fraud_Baumbach_Stores,entertainment,70.26,"New York, NY",4532_2499_7429,DEV_51844,0,TXN-010027,organic,0
2026-01-01 01:15:07,fraud_Schumm_Group,shopping_net,834.57,"New York, NY",4532_7109_2234,DEV_79180,1,TXN-010028,organic,0
2026-01-01 01:16:16,fraud_Boyer_Group,entertainment,78.71,"San Francisco, CA",4532_1498_2680,DEV_48168,0,TXN-010029,organic,0
2026-01-01 01:17:57,fraud_Schumm_Group,entertainment,80.32,"Chicago, IL",4532_5312_2595,DEV_85913,0,TXN-010030,organic,0
2026-01-01 01:18:14,fraud_Cruickshank_Apparel,health_fitness,11.57,"Miami, FL",4532_4372_1420,DEV_67016,0,TXN-010031,organic,0
